id,titrFr,categorieFr,ref,niveau,prix,img,description
501,Phase photochimique (représentation animée),Sciences de la nature et de la vie,DB421,ثانوي,12.500.00 Dzd,/media/produit/images/DB_421_A_copy.jpg,Ce dispositif aide le professeur à fournir de brèves explications utiles établies Dans l''esprit des étudiants; l''appareil est équipé de boutons permettant de contrôler l''affichage séquentiel. Pour les étapes de la phase chimique; par exemple; le professeur explique une étape particulière Il appuie ensuite sur le bouton pour passer à l''étape suivante; etc.; et peut affecter Commandez l''appareil pour afficher les étapes automatiquement et rapidement contrôlées. Joignez une instruction d''utilisation détaillée décrivant la méthode optimale. Exploiter l''appareil
502,cycle de Calvin (représentation animée),Sciences de la nature et de la vie,DB422,ثانوي,12.500.00 Dzd,/media/produit/images/DB_422_A_copy.jpg,L’enseignant peut attirer l’attention des élèves et leur permettre d’interagir pleinement tout en expliquant le cycle de Calvin grâce à la présentation séquentielle des réactions de la phase photoélectrique. Le diagramme de cycle Calvin présenté à l''avant de l''appareil; visible sur cet appareil; est visible de tous les côtés de la section et est équipé de boutons permettant Contrôle total de la procédure de présentation manuellement ou automatiquement. C’est-à-dire que le professeur peut s’arrêter à n’importe quel stade de l’explication; puis passer à autre chose. Pour le stade pro; il suffit d''appuyer sur le bouton approprié; etc. Attaché à une instruction d''utilisation détaillée indiquant la meilleure façon d''utiliser le périphérique
503,Cycle de Krebs (représentation animée),Sciences de la nature et de la vie,DB423,ثانوي,12.500.00 Dzd,/media/produit/images/DB_423_A_copy.jpg,L''enseignant peut attirer l''attention des étudiants et leur permettre d''interagir pleinement tout en expliquant le cours de Krebs grâce à la présentation. La séquence des réactions de phase photochimiques montrées par l''appareil; le diagramme de cycle de Krebs est montré Sur le devant de l''appareil; visible de toutes les parties de la section; elle est dotée de boutons permettant de contrôler entièrement la procédure de présentation manuellement ou automatiquement. Joignez-vous à une instruction d''utilisation détaillée indiquant la meilleure façon d''utiliser le périphérique.
504,Les étapes de la glycolyse (représentation animée),Sciences de la nature et de la vie,DB424,ثانوي,12.500.00 Dzd,/media/produit/images/DB_424_A_copy.jpg,Accompagner le professeur pour l’aider à expliquer les étapes de la glycolyse dans un simple teaser interactif; des boutons Contrôler la présentation progressive des étapes donne au professeur la possibilité de donner des informations et de poser la question à temps Convient comme il veut dans les étapes en mode problématique (commande manuelle de l''affichage); pour sauver les élèves Dans ce dernier pour comprendre et absorber les étapes de la glycolyse
505,Digestion in vitro de l’amidon ( expériences virtuelles ),Sciences de la nature et de la vie,DB425,متوسط,13.000.00 Dzd,/media/produit/images/DB_425_A_copy.jpg,Expériences réelles pour détecter la digestion de l''amidon contenues dans le manuel pour la moyenne de la quatrième année Vous pouvez maintenant le faire par défaut avec cet appareil. L’interface distinctive de l’appareil comporte des boutons permettant d’ajouter des réactifs connus pour tester différents échantillons de détection Pour la digestion de l''amidon; le résultat peut également être observé à différents moments Des cas et de la couleur comme cela arrive dans des expériences réelles. Attaché à une instruction d''utilisation détaillée indiquant la meilleure façon d''utiliser le périphérique
506,Expérience pour la mise en évidence d’immigration des ions,Expériences de chimie,DB426,متوسط,4.900.00 Dzd,/media/produit/images/DB_426_copy.jpg,L''appareil est prêt à l''emploi; car il fournit tous les matériaux Produit chimique nécessaire (sulfate de cuivre; plus de manganate de potassium) Et le chlore de potassium). Résumé de l''expérience (adapté du manuel). Placez sur du papier filtre; pré-humidifié avec une solution de chlore Faible quantité de potassium; sulfate de cuivre bleu et faible quantité Au-dessus de manganate de potassium violet. Quelques minutes après la fermeture du circuit; la couleur bleue se déplace vers la piste La couleur pourpre se déplace vers l''ascenseur. Quelle est l''explication scientifique de ce phénomène? Répondre comme ça Les problèmes sont décrits dans les instructions d''utilisation fournies avec le périphérique. Niveau: quatrième intermédiaire. La méthode proposée ici vous permet de compléter l''expérience pertinente Le modèle microscopique d''électrolyse; prescrit pour les quatrièmes sections La moyenne et détaillée dans la page de manuel 1
507,Détermination du gaz dans une boisson gazeuse,Expériences de chimie,DB427,متوسط,5.300.00 Dzd,/media/produit/images/DB_427_A_copy.jpg,Composants de l''appareil: L''appareil est prêt à être utilisé à la livraison. Le dispositif consiste en un ballon rempli de dioxyde de carbone; une coupe en verre; un flacon D''une boisson gazeuse pour détecter le dioxyde de carbone gazeux mélangé à la boisson La chaux est claire comme un détecteur; un tube à essai pour la réception du gaz; un bouchon pour le tuyau avec un tube Préparé pour la décharge de gaz (expérience de détection de gaz) et le remplissage (expérience de mélange de gaz) Les étapes des deux expériences sont détaillées dans les instructions d’utilisation fournies avec le dispositif. L''appareil est utilisé pour  1 - Achèvement de l''expérience de détection du dioxyde de carbone dans une boisson Ghazi (Les manuels scolaires de la quatrième école; p. 102) Deuxième page 19)  2 - Achèvement de l''expérience consistant à mélanger du dioxyde de carbone avec de l''eau; à titre d''exemple. Concept industriel de mélange homogène (manuel d''abord Moyenne; page 87
508,Modélisation des courants océaniques profonds,Expériences de chimie,DB428,ثانوي,0.00 Dzd,/media/produit/images/DB_428_copy.jpg,Les courants océaniques jouent un rôle clé dans l''équilibre climatique Il existe deux types de courants océaniques; les courants de surface et les courants profonds Pour les courants de surface principalement causés par le mouvement du vent; les courants sont profonds Les différences de température sont principalement dues aux températures profondes de l''océan L''intensité de l''eau profonde varie en fonction de la salinité. Cet appareil est un modèle pour les courants océaniques profonds. Le dispositif consiste en: 1 tasses connectées à deux tuyaux servant de passages entre elles - 2 bols Ils sont remplis d’eau gelée ou chauffée pour faire la différence de température entre les deux verres  3 base sur laquelle l''appareil est placé pendant les expériences Arrosez entre les deux verres et déterminez la direction
509,Appareil de galvanisation,Expériences de chimie,DB429,متوسط,5.000.00 Dzd,/media/produit/images/DB_429_copy.jpg,Après que le scientifique anglais Faraday ait défini les règles de l''analyse L''électrolyse s''est répandue et a établi une utilisation industrielle Pour cette technique (le quatrième manuel Page moyenne. Organe proposé Voici une miniature du processus Acier industriel galvanisé pour protéger contre la rouille. L''appareil est prêt à être utilisé dès sa livraison Produit chimique requis pour l''expérience et quelques boulons en fer pour la galvanisation. Une instruction détaillée est également fournie avec l''appareil.
510,Combution complète et incomplète du butane,Expériences de chimie,DB430,متوسط,2.450.00 Dzd,/media/produit/images/DB_430_copy.jpg,L''appareil est une installation spéciale permettant la capture de produits de combustion au butane Il détecte également le dioxyde de carbone issu de la combustion. L''appareil est prêt à être utilisé à la livraison car toutes les fournitures expérimentales sont livrées. L''un des objectifs du dispositif est de compléter l''expérience de combustion et la combustion incomplète du gaz Butane et divulgation des résultats dans les deux cas (moyenne moyenne du manuel) Page 12 et 5 pages exercice. 20) Livrer avec l''appareil deux briquets et un rapport pour le feu de chaux. Un CD-ROM expliquant comment effectuer des expériences sera livré avec l''appareil. Comprend également CD-ROM sur le matériel pédagogique lié au cours sous la forme Q: Quels sont les dangers de la combustion? Le total? Pourquoi est-il difficile de détecter les gaz dangereux et le monoxyde de carbone?
511,Repère cartésien,Physique,DB431,متوسط - ثانوي,2.250.00 Dzd,/media/produit/images/DB_431_copy.jpg,Dans certains cours de mathématiques et de physique; un enseignant a besoin d''un enseignant Cartésien. Mais il n''est pas facile de dessiner un maître cartésien avec ses lignes   Horizontal et vertical. Notre professeur ici est imprimé   Sur du plastique plastifié; magnétisé sur le tableau blanc de la fondation. Il peut également être écrit avec un stylo pour tableau blanc; effaçable
512,Expérience du projectile (photos successives),Physique,DB433,ثانوي,5.600.00 Dzd,/media/produit/images/DB_433_-_1_copy.jpg,Ce dispositif est utilisé pour étudier le mouvement d''un projectile en utilisant la méthode de l''image successive. L''appareil est composé de  1 lanceur de billes d''acier  2 trois billes d''acier  3 programmes informatiques enregistrés dans les positions de projectile prédéterminées de l''enseignant cartésien Dans des temps successifs. Le dispositif est particulièrement utilisé pour étudier régulièrement les mouvements accélérés; tels que l''éjaculation. Vitesse primaire non verticale (troisième livre secondaire p. 260 -.) 261 Pour l''expérience; un bon type de vitesse est requis; à 30 images par seconde Pour le moins; un bon téléphone avec appareil photo; tel qu''un iPhone; peut également être utilisé. Ne livrez pas l''appareil. Résumé de la méthode d''utilisation L''appareil s''installe automatiquement sur le tableau blanc; sélectionne et ajuste l''angle d''extrusion (Fig. 1) Lancer la bille d''acier et enregistrer son mouvement dans une vidéo. Après avoir entré un clip Dans la vidéo enregistrée du mouvement du projectile; nous enregistrons manuellement les positions successives du projectile (photo)  . 2) Le programme prépare ensuite un tableau de coordonnées de situations successives; où il peut être imprimé Ce tableau (image; 3) est utilisé pour les applications prévues. Comment faire Les tests sont détaillés sur le CD-ROM fourni avec l''appareil
513,Détermination des lignes d’un champ magnétique,Physique,DB434,ثانوي,2.200.00 Dzd,/media/produit/images/DB_434_copy.jpg,Pour connaître la direction des lignes de champ magnétique; nous utilisons une méthode man-amp Ou la méthode de la main droite. Le dispositif proposé ici est une modélisation simplifiée Ces méthodes. Son but est d''expliquer ainsi que l''exercice sur la base Déterminez la direction des lignes de champ magnétique. La méthode proposée ici consiste en deux parties principales; une tige Panneau en bois avec une flèche et des signes + et - pour représenter la direction du courant électrique Un disque en plastique transparent; avec des lignes imprimées dessus; représente les lignes du champ Magnétique. Les deux parties sont amovibles (Changer la direction actuelle). Un courant électrique dans un fil droit produit un champ Magnétique. Les lignes de ce champ magnétique sont des mots Pour les cercles placés dans ce fil.
514,Benjamin Franklin تجربة,Expériences de chimie,DB435,متوسط,0.00 Dzd,/media/produit/images/db_435-1_copy.jpg,Le but de cette méthode est de faire une expérience liée à l’estimation de la longueur de la molécule d’huile détaillée dans le livre. L’année scolaire moyenne pour une deuxième page .49 peut également être utilisée pour compléter la fiche expérimentale relative à l’estimation de la longueur d’une molécule Oil Acid; détaillé dans le même manuel; p. 44-45 Composants de l''appareil: - Bassin rond en métal; diamètre d''environ 30 cm - Entretien - un peu d''huile d''olive - seringue médicale - Une fiole d’étonne pour diluer l’huile. Résumé des étapes de l''expérience: Remplissez complètement le bassin avec de l''eau jusqu''aux extrémités; faites une légère couche de gomme à la surface de l''eau; mettez doucement une goutte d''huile Diluer la surface de l''eau au centre de l''aquarium. Immédiatement après l''opération; la gomme se déplace vers Bassin les extrémités de la goutte d''huile; qui s''étend dans une forme circulaire. On peut estimer la longueur de la molécule d''huile En mesurant la surface de la marée noire. Les détails de l''expérience que vous trouvez avec le matériel pédagogique dans le sujet Sur le CD fourni avec l''appareil
515,Modèles géants de chromosomes,Sciences de la nature et de la vie,DB436,متوسط - ثانوي,0.00 Dzd,/media/produit/images/db_436-1_copy.jpg,Caractéristiques pratiques des modèles: - Les grands modèles peuvent être vus par tous les élèves du département. - Les modèles sont équipés d''aimants pouvant être fixés ou déplacés sur le tableau blanc. - des pièces du modèle; qui sont des anneaux en bois pouvant être démontés Ou alterné entre les modèles (photo; 2) Chromatidin peut également être séparé Dans chaque chromosome (Fig. 3) Les modèles sont utilisés pour résoudre les problèmes de division cellulaire équitable Égale en science. Plus précisément pour aborder les sujets suivants.  1 - quatrième moyenne: comportement des chromosomes lors de la formation des gamètes; manuel 126-125 pages 2- Premier secondaire: multiplication cellulaire (division égale) Manuel; page 20-24 3. Deuxième secondaire: partage équitable; page 124 - Mélange de chromosome; page 126 - Mélange intrachromique (phénomène de transit); page 127 Insémination; page 129 L’idée principale de l’utilisation de ces modèles est de représenter chaque étape de la division Sur le tableau blanc de l''institution et expliquez les mécanismes de leur apparition et comment passer d''une étape à l''autre. Livré avec les modèles de CD-ROM inclus Une explication détaillée des nombreuses expériences que Les modèles sont utilisés pour les accomplir
516,Expérience d’Engelmann,Sciences de la nature et de la vie,DB438,ثانوي,8.000.00 Dzd,/media/produit/images/DB_438_A_copy.jpg,Vous pouvez utiliser l''appareil pour effectuer des expériences virtuelles Simuler les expériences du monde Engelman La relation entre l''intensité de la photosynthèse et le rayonnement Spectre (spectre d''activité) Le sujet de l''expérience est contenu dans le manuel Pour la première année du secondaire
517,apprendre à écrire et équilibrer les équations chimiques,Expériences de chimie,DB439,متوسط,8.000.00 Dzd,/media/produit/images/DB_439_A_copy.jpg,Cet appareil vous permet d''effectuer plusieurs exercices de manière interactive. Autoriser les élèves à accueillir: - Qu''advient-il d''une phrase chimique lorsqu''elle subit une transformation chimique - Modélisation de la transformation chimique par équation de réaction chimique - le principe de préservation des atomes et de la masse par l''équilibrage des équations réactionnelles - Concept de corps simple et corps complexe ... Les éléments chimiques réactifs ont été soigneusement sélectionnés pour se conformer à ce qui est actuellement Au niveau moyen
518,Réaction chimiques par modèle moléculaire,Expériences de chimie,DB440,متوسط,8.000.00 Dzd,/media/produit/images/DB_440_copy.jpg,L’utilisation du modèle moléculaire aide la majorité des élèves Comprendre ce qui se passe dans la réaction chimique et le modèle proposé (Comme sur la photo) se compose de pièces magnétiques représentant des atomes d''éléments Avec ses couleurs idylliques; il facilite beaucoup de concepts de base Dans la transformation chimique; y compris: - mode de réalisation de réaction chimique par modèle moléculaire - préservation des atomes et de la masse après réaction - Corps simple et corps complexe - Equation chimique d''équilibrage. Remarque: pour effectuer des expériences; vous pouvez utiliser le patio du patient ou le logiciel d''acquisition. Tableau blanc fourni
519,30 expériences sur la matière et ses transformations ( physique 1AM ),Physique,DB441,متوسط,0.00 Dzd,/media/produit/images/DB_441_copy.jpg,Une expérience intéressante; amusante et simple selon le programme et l''approche formels - Ce groupe a été préparé par des spécialistes en physique. Cet ensemble est composé de plusieurs pièces; fournitures et outils vous permettant de réaliser 30 expériences complètes visant tous les concepts. Et des activités et des exercices contenus dans le domaine de la matière et de ses transformations. Les essais possibles incluent: - Mesurer le volume de liquide en utilisant différents instruments. - Mesure de la taille d''un objet solide non dissous dans l''eau (Méthode d''immersion) - Mesurer la taille d''un objet solide de forme géométrique simple - Mesure de la masse corporelle liquide - Mesurer des longueurs avec le pied canal - Forme et taille - Facteurs affectant l''état du matériau (expérience de la cloche) - Propriétés d''écoulement et de déversement - surface libre de liquides - la présence et la forme du gaz - Compressibilité et expansion - propagation de gaz - fonte des glaces (effet thermique) ............................. - - Le groupe est accompagné d''une notice d''utilisation (brochure d''environ 40 pages). Conseils détaillés sur la façon de mener des expériences. Remarque: tous les composants de la collection n''apparaissent pas sur l''image.
520,Tous les Montages électriques Pour 1Am et 3Am,Electronique et électricité,DB442,متوسط,7.400.00 Dzd,/media/produit/images/DB_442_copy.jpg,Plus de 20 installations faciles et directes sur le tableau A suivre par tous les étudiants du département L''ensemble se compose d''éléments montés sur des canettes Un petit support magnétique sur un tableau magnétique Un seul jeu suffit pour compléter toutes les combinaisons Phénomènes électriques du premier niveau Et la troisième moyenne à la fois ... et de manière interactive L''élève acquiert une meilleure compréhension et maîtrise du champ théorique Et appliqué aux circuits électriques. Remarque: pour les expériences; vous pouvez utiliser la section du patient. Ou l’acquisition du tableau blanc avec les supports de référence DB446
521,Tectonique des Plaques (pangée),Geologie,DB443,متوسط,6.000.00 Dzd,/media/produit/images/DB_443_copy.jpg,Le médium est une collection de pièces magnétiques de formes Le vieux continent permet d''expliquer et de clarifier la théorie du déplacement Continents depuis des millions d''années Remarque: pour les expériences; vous pouvez utiliser Section patient ou acquisition du tableau    Blanc avec supports de référence DB446
522,Expériences en Mecanique,Physique,DB444,ثانوي,0.00 Dzd,/media/produit/images/DB_444_B_copy.jpg,Cet appareil peut être utilisé dans Force et mouvement. Référence (première année) Mouvement rectiligne régulier Noter les distances avec le temps B. Accélération et ralentissement du mouvement descendant Enregistrer la relation temps-distance 2. Le principe du chômage est atteint 3. Vibrations libres d''une phrase mécanique (troisième année) - Impulsions horizontales flexibles - Temps de mesure de l''unité vibrante (sol) - Mesurer le temps d''un ensemble de vibrations puis calculer le rôle puis la comparaison Entre les deux rôles pour conclure que la force de friction joue un rôle dans l’amortissement du mouvement - L''appareil doit être livré dans son intégralité; comme indiqué sur la photo ci-dessus.
523,énergie potentielle gravitationnelle,Physique,DB445,متوسط - ثانوي,0.00 Dzd,/media/produit/images/DB_445_B_copy.jpg,1 L''expérience prouve que l''énergie potentielle est liée à la masse et à la hauteur   - 2 expériences éducatives La distance de freinage (force de friction) est rapide Et masse corporelle en mouvement (avec surface de contact horizontale) Remarque L''appareil est accompagné d''une explication détaillée de l''expérience.
524,Tableau blanc avec supports,Optiques,DB446,متوسط - ثانوي,3.000.00 Dzd,/media/produit/images/DB_446_copy.jpg,Tableau blanc avec berceaux Sur sa stabilité verticale - Enregistrable; utilisé pour des expériences Les mêmes pièces magnétiques.
525,Le courant électrique a-t-il une valeur numérique?,Electronique et électricité,DB447,متوسط,2.400.00 Dzd,/media/produit/images/DB_447_copy.jpg,Utilisé pour des expériences simples et détaillées (Quantité et qualité) sur le concept de la valeur numérique du courant Électricien dans le manuel de l''année La troisième est moyenne ... Elle peut aussi être exploitée Dans d''autres expériences telles que: Connecter les colonnes et connecter les ampoules et collecter les clés et les tensions
526,Apllication pour connecter des batteries,Electronique et électricité,DB448,متوسط - ثانوي,2.800.00 Dzd,/media/produit/images/DB_448_copy.jpg,Alimentation continue: très économique; très léger; très efficace Il suffit d’acquérir quatre batteries AA; qui sont les plus abondantes. Sur le marché pour être prêt à utiliser cet aliment continu Simple et efficace; il fonctionne bien dans de nombreuses expériences sur l''électricité Au niveau intermédiaire; vous n''avez pas besoin de fils Avec une seule touche; sélectionnez la tension à utiliser avec le bouton
527,Expériences simplifiées pour l'étude de la conductivité,Expériences de chimie,DB449,متوسط - ثانوي,0.00 Dzd,/media/produit/images/DB_449_copy.jpg,Description de l''appareil Le dispositif est un compartiment en plexiglas transparent; destiné à la réception Solution Chardy pour étudier sa conductivité électrique. Caractéristiques de l''appareil: 1 Prêt à faire des expériences.  2 - choisissez la distance exacte entre les deux plaques de métal; une pente de 1 cm; Ceci est dû aux rainures gravées sur les côtés intérieurs de la cellule.  3 lire directement la hauteur de la solution ionique à l’intérieur de la chambre; sur une règle incluse Imprimé sur le côté de l''appareil. Une paire de tôles (suppositoire; cuivre et aluminium) est livrée avec l''appareil Chaque plaque a une prise électrique. Expériences. Une des expériences les plus importantes préparées par le dispositif à accomplir; nous rappelons 1- La relation entre la conductivité et la distance entre les suppositoires (les deux plaques métalliques). 2 - la relation entre le navire-citerne et la zone de suppositoire immergée.  3 - Le rapport entre la conductivité et la qualité de la solution ionique et sa température.  Mesurer la quantité d''une substance dans une solution. Suffixes nécessaires pour les expériences. 5 etc ... Pour faire les expériences; vous devez préparer les outils supplémentaires suivants. Générateur GBF; voltmètre; ampermètre; connexion filaire; solution de chlore de sodium à une concentration de 0;01 mol En litres. Pour la relation de conductivité à la qualité de la solution; d’autres solutions doivent être préparées avec la même concentration; telle que la solution de soude. Note: Une instruction pédagogique détaillée est jointe
528,ExAO ELECTRICITÉ,Exao,DB450,ثانوي,0.00 Dzd,/media/produit/images/DB_450_copy.jpg,De nombreuses expériences peuvent être menées dont les plus importantes sont: - Expériences de base en électricité - Loi d''Ohm - Circuits sur séquençage et parallélisme - Electromagnétisme: bobines; moteur électrique; force magnétique ... - Intensité du courant dans la solution de Chardi utilisant un galvanomètre ... etc.
529,ExAO BIOLOGIE,Exao,DB451,ثانوي,0.00 Dzd,/media/produit/images/DB_451_copy.jpg,Expérience de montrer des échanges respiratoires chez les plantes vertes
530,ExAO CHIMIE,Exao,DB452,ثانوي,0.00 Dzd,/media/produit/images/DB_452_copy.jpg,De nombreuses expériences peuvent être menées dont les plus importantes sont: - Mesure du ph - Etude du transport électrique - énergie thermique - concentration ionique .... aux autres Contient   Capture la chaleur   Capture: PH   Capture de conductivité
531,ExAO MECANIQUE,Exao,DB453,ثانوي,0.00 Dzd, ,De nombreuses expériences peuvent être menées dont les plus importantes sont: - force de friction - Mouvement harmonique simple - Deuxième loi de Newton - Vitesse; accélération; gravité ... etc Contient: capteur de force capteur de photocellule capteur du mouvement
532,mouvement des particules et états de la matière,Physique,DB455,متوسط,11.000.00 Dzd,/media/produit/images/DB_455_A_copy.jpg,Un appareil qui explique seul les cas de matière dans le modèle granulaire - Ce moyen est caractérisé par efficace et prêt à expliquer les cas Les trois particules du matériau sont grossies à l''avant de l''appareil Angstrom à l''œil nu .. Et à travers elle informe l''étudiant La nature du mouvement permanent des particules Etat physique (gaz; liquide; solide) - Le moyen chante beaucoup le professeur À partir d''explications et de croquis L''interface est également élargie pour être vu Tous les élèves du département clairement
533,mouvement des charges dans le courant alternatif et continu,Electronique et électricité,DB456,متوسط,11.000.00 Dzd,/media/produit/images/DB_456_A_copy.jpg,Cet appareil est utilisé pour illustrer la principale différence entre le courant La rotation des électrons L’enseignant aide à expliquer la gauche et facilite ensuite la tâche de l’élève Comprendre les concepts de courant alternatif et continu - le dispositif est une représentation animée du mouvement des électrons En courant alternatif et continu A travers lequel l''étudiant audite et construit ses connaissances Sur les concepts de base de ce qui est Courant continu et alternatif
534,la conductivité d’ une solution ionique et moléculaire,Expériences de chimie,DB457,متوسط,11.000.00 Dzd,/media/produit/images/DB_447_copy_OwlvLyB.jpg,Avec ce dispositif; l’élève réalise une hypothétique expérience sur un vecteur Solution ionique et diabète .. et notes à l''écran On en déduit le grossissement du mouvement des électrolytes et la dormance des molécules Propriétés de la solution diabétique et diabétique
535,Matière et changements d’état,Physique,DB458,متوسط,11.000.00 Dzd,/media/produit/images/DB_458_B_copy.jpg,Ce dispositif incarne le schéma des cas du matériau et de ses transformations Physique contenu dans le manuel Moyenne sur un an; page 39 En outre; le schéma est interactif; soutenu par des images de l''environnement Pour les cas visés à l''article 3; ainsi qu''une représentation granulaire de chaque cas Avec des flèches lumineuses indiquant la tendance de la transformation physique .. Après le suivi de tout ce qui enracine les concepts de l''étudiant Le matériau et ses transformations physiques
536,éléments nutritifs essentiels,Sciences de la nature et de la vie,DB459,متوسط,11.000.00 Dzd,/media/produit/images/DB_459_A_copy.jpg,Cet appareil interactif est très approprié pour le premier niveau Professeur pour expliquer tous les concepts et activités de l''axe de la nutrition chez l''homme Les étudiants interagissent avec les ISC pour acquérir des connaissances et établir Les concepts contenus dans cet axe incluent: - Principes de base d''une alimentation saine et équilibrée; source et composition des aliments; discrimination Entre les sources de nourriture et la composition; déterminez la source de nourriture par origine Détermination de la source organique ou minérale à l''aide de la fonction de calendrier ......
537,Oscilloscope,Electronique et électricité,DB460,متوسط,7.000.00 Dzd,/media/produit/images/DB_460_A_copy.jpg,Cet appareil est très utile pour les quatrièmes élèves Le principe de base du fonctionnement du diagramme de vibrations de la cathode est qu’il représente une interface. Zoom virtuel avec boutons de balayage standard horizontal et vertical Réglable et avec un écran dont les dimensions sont énumérées sont visibles de chaque Etudiants du département ..
538,conduction électrique dans les mélanges et les solutions aqueuses,Expériences de chimie,DB461,متوسط,7.500.00 Dzd,/media/produit/images/DB_461_B_copy.jpg,Expériences hypothétiques interactives pour le transport de solvants Moléculaire et électrolyte pour l''électricité ... cherchez le professeur Cet appareil pour tester l''absorption de l''étudiant Pour les concepts d''électrolytes et de molécules en mélanges et solutions aqueuses
539,vérification de quelques lois d’algèbre et de géométrie par la pratique,Physique,DB462,متوسط,7.000.00 Dzd,/media/produit/images/DB_462_-2_copy.jpg,Une gamme de pièces en plastique de différentes couleurs et tailles Équipé d''aimants à fixer sur le tableau blanc permettant à l''élève de comprendre et d''absorber Nous rappelons bon nombre des concepts de calcul et d''ingénierie: - Les fameuses difficultés - Coins centraux et océaniques - L''angle total du triangle ...
540,Un groupe d'étude des phénomènes photoniques,Optiques,DB463,متوسط - ثانوي,15.000.00 Dzd,/media/produit/images/DB_463_-1_NV_copy.jpg,L''invité de l''appareil Le groupe est habitué à mener toutes les expériences appliquées pertinentes Le niveau de couleur moyen des phénomènes lumineux Et le niveau secondaire. Les couleurs de base de la lumière. Le mélangeur de couleurs émet de la couleur Trois lumière blanche de base: rouge; vert et bleu). 2. La structure collective de la lumière. Le mélange de deux couleurs primaires produit une couleur secondaire: Rouge et vert produisent jaune; rouge et bleu produisent violet Le vert et le bleu produisent du cyan. Les couleurs de base se mélangent Les trois produisent bien sûr la couleur blanche. 3 La soustraction de lumière Le principe de soustraction est que le filtre Il absorbe certaines couleurs et laisse passer les autres. Par exemple; filtrer la lumière blanche avec trois filtres tricolores secondaires Le noir est donné parce que toutes les couleurs sont absorbées (photo 4) L''expérience utilise un mélangeur de couleurs et trois filtres de couleurs; jaune; violet et cyan. 4 le principe de voir des objets. La vision d''un objet est liée à la lumière qui illumine cet objet. Par exemple; lorsque le drapeau national est illuminé en lumière blanche; vous voyez ses couleurs Comme vous pouvez le voir à la lumière du jour car le soleil émet une lumière blanche (photo 2); mais lorsque vous utilisez une autre lumière de base (photo 3); les couleurs changent: Scientifiquement; le fait que chaque couleur absorbe certaines couleurs et en diffuse d''autres. Le kit est accompagné d''une instruction pédagogique détaillée
541,Le générateur des trois couleurs principales,Optiques,DB464,متوسط - ثانوي,9.000.00 Dzd,/media/produit/images/DB_464_copy.jpg,Composants de la phrase (photo.) 1 Le groupe est composé de  Le générateur est équipé de trois sources de lumière qui émettent les trois principales couleurs de lumière. (Rouge; vert et bleu.) Les en-têtes sont exploités par trois segments; chacun étant spécifique à l''une des trois sources Chaque source possède l’une des trois lumières principales; par exemple la lumière bleue Ou utilisez deux sources en même temps pour mélanger deux couleurs principales et obtenir Sur une couleur secondaire; par exemple; mélangez les deux couleurs principales rouge et vert pour obtenir La couleur secondaire est jaune (photo) 3 Les trois en-têtes peuvent être activés pour obtenir du blanc (image 2)  Le générateur est alimenté par une alimentation de 6 volts et est équipé d''un transformateur électrique De 220 volts à 6 volts.  3. Livrer avec le générateur un écran blanc pour laisser tomber les sources lumineuses. Écran Fait de bois spécial; il est doté d''une structure lui permettant de se tenir en position Vertical pour recevoir des lumières. Dimensions de l''écran: 25 x 30 cm
542,Boyle-Mariotte( PV=Constante),Physique,DB465,ثانوي,9.000.00 Dzd,/media/produit/images/DB_465_copy.jpg,Les expériences des scientifiques Boyle et Marit ont montré que; par exemple; Une quantité constante de gaz à température constante; quelle que soit la taille de celle-ci Le gaz a augmenté la pression. Plus précisément; les deux scientifiques ont démontré de manière empirique la relation Aujourd''hui; ils s''appellent par leurs noms. Cet appareil est utilisé pour illustrer cette relation
543,Relation de (Charles ),Physique,DB466,ثانوي,0.00 Dzd,/media/produit/images/DB_466_copy.jpg,Le but de ce dispositif est de clarifier et d’expérimenter Simple; la relation entre pression et température Pour une quantité de gaz spécifique De taille fixe. L’expérience est de mobiliser la seringue médicale Une quantité fixe d''air est placée à l''intérieur Conteneur en plastique; nous emballons un conteneur en plastique Avec de l''eau chaude; on commence avec une température qui n''est pas مرتفعة Beaucoup élevé et ensuite revivre le degré Températures plus élevées. Nous notons que chaque fois Nous avons augmenté la température de l''eau a augmenté la pression de gaz À l''intérieur de la seringue
544,Hotte Chimique de Laboratoire,Expériences de chimie,DB467,متوسط - ثانوي,0.00 Dzd,/media/produit/images/DB_467_copy.jpg,De nombreux professeurs de collège et de lycée évitent de faire des Expériences chimiques nécessitant la manipulation de substances potentiellement dangereuses Dangereux pour le professeur ou les élèves pendant l''expérience. Cet équipement est spécialement conçu pour les tests chimiques sans crainte de risque Associés à ces expériences; tels que les risques liés au poids ou au chauffage de produits chimiques dangereux. Observation. Les gants de protection sont fabriqués dans un matériau spécial résistant à l''action chimique
545,Plan incliné avec des aimants,Physique,DB468,ثانوي,0.00 Dzd,/media/produit/images/DB_468_copy.jpg,Fabriqué en aluminium; avec des aimants pouvant être facilement fixés au tableau Blanc métallique; angle d''inclinaison précis et changement en un temps record. Très pratique dans les expériences sur le niveau incliné de l''année Utilisation de la technologie d’image séquentielle; où Attaché à un programme d''information pour utiliser l''ordinateur En troisième année; expériences au lycée.
546,Étudier la gravité et le centre de gravité,Physique,DB469,متوسط - ثانوي,0.00 Dzd,/media/produit/images/DB_469_copy.jpg,Cet appareil est conçu pour étudier la force de gravité et déterminer le centre de gravité d'un objet particulier.
